Micro Pollutant,MP Category,Initial Concentration of MP (mg/L),Compound MW (g/mol),Compound Charge,Log D (pH=6.5-7),Log Kow,pKa,Stokes Radius/Compound size ,Initial FS pH,Type of MB,FO membrane description,MB Contact Angle (°),MB Zeta Potential,Draw Solution,DS MW (g mol-1),DS Concentration (M),Operating Time (h),Cross Flow Velocity (cm/s),"Water Flux, Jw (LMH)","Reverse Salt Flux, Js (gMH)",Temperature (⁰C),Removal Rate (%),Reference,Reference ID,Additional references,ID number,,,,,,,,,,,,,,,,,,
Dichloroacetonitrile,Disinfection byproduct,2.00E-02,110,0,0.94,0.29,0.5,0.47,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,48.3,(Xu et al. 2018),8,,174,,,,,,,,,,,,,,,,,,
Bromochloroacetonitrile,Disinfection byproduct,2.00E-02,154,0,1.22,0.38,,0.53,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,67,(Xu et al. 2018),8,,175,,,,,,,,,,,,,,,,,,
Dibromoacetonitrile,Disinfection byproduct,2.00E-02,199,0,1.57,0.47,1.48,0.61,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,76.3,(Xu et al. 2018),8,,176,,,,,,,,,,,,,,,,,,
"1,1-Dichloro-2-propanone",Disinfection byproduct,2.00E-02,127,0,-0.28,0.2,10.4,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,90.9,(Xu et al. 2018),8,,177,,,,,,,,,,,,,,,,,,
"1,1,1-Trichloro-2-propanone",Disinfection byproduct,2.00E-02,161,0,0.17,1.12,10,,7,Aquaporin FO,thin-film composite membrane with aquaporin protein embedded in the polyamide layer.,26.4,-55,NaCl,58.44,1,8,4.8,8.1,,21,95.4,(Xu et al. 2018),8,,178,,,,,,,,,,,,,,,,,,
N-nitrosodimethylamine,Disinfection byproduct,1.00E-02,74,0,-0.5,-0.64,-3.63,0.44,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,4.3,(Xu et al. 2018),8,,179,,,,,,,,,,,,,,,,,,
N-nitrosomethylethylamine,Disinfection byproduct,1.00E-02,88,0,0.01,-0.15,-3.39,0.49,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,21.3,(Xu et al. 2018),8,,180,,,,,,,,,,,,,,,,,,
N-nitrosodiethylamine,Disinfection byproduct,1.00E-02,102,0,0.52,0.34,-3.14,0.53,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,30.1,(Xu et al. 2018),8,,181,,,,,,,,,,,,,,,,,,
N-Nitrosodipropylamine,Disinfection byproduct,1.00E-02,130,0,1.54,1.33,-3.18,0.58,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,49.5,(Xu et al. 2018),8,,182,,,,,,,,,,,,,,,,,,
N-nitrosodi-n-butylamine,Disinfection byproduct,1.00E-02,158,0,2.56,2.31,-3.14,0.62,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,57.2,(Xu et al. 2018),8,,183,,,,,,,,,,,,,,,,,,
N-nitrosopyrrolidine,Disinfection byproduct,1.00E-02,100,0,-0.09,0.23,-3.14,0.5,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,21.3,(Xu et al. 2018),8,,184,,,,,,,,,,,,,,,,,,
N-nitrosopiperidine,Disinfection byproduct,1.00E-02,114,0,0.44,0.72,-3.18,0.53,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,39.7,(Xu et al. 2018),8,,185,,,,,,,,,,,,,,,,,,
Chloroform,Disinfection byproduct,2.00E-02,119,0,1.94,1.97,15.7,0.41,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,4,(Xu et al. 2018),8,,186,,,,,,,,,,,,,,,,,,
Bromodichloromethane,Disinfection byproduct,2.00E-02,164,0,2.04,2,2.93,0.47,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,16.2,(Xu et al. 2018),8,,187,,,,,,,,,,,,,,,,,,
Dibromochloromethane,Disinfection byproduct,2.00E-02,208,0,2.21,2.16,1.7,0.5,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,27.3,(Xu et al. 2018),8,,188,,,,,,,,,,,,,,,,,,
Bromoform,Disinfection byproduct,2.00E-02,253,0,2.43,2.4,8.6,0.48,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,36.8,(Xu et al. 2018),8,,189,,,,,,,,,,,,,,,,,,
Dichloroacetonitrile,Disinfection byproduct,2.00E-02,110,0,0.94,0.29,0.5,0.41,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,3.8,(Xu et al. 2018),8,,190,,,,,,,,,,,,,,,,,,
Bromochloroacetonitrile,Disinfection byproduct,2.00E-02,154,0,1.22,0.38,,0.42,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,19.8,(Xu et al. 2018),8,,191,,,,,,,,,,,,,,,,,,
Dibromoacetonitrile,Disinfection byproduct,2.00E-02,199,0,1.57,0.47,1.48,0.43,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,35.6,(Xu et al. 2018),8,,192,,,,,,,,,,,,,,,,,,
"1,1-Dichloro-2-propanone",Disinfection byproduct,2.00E-02,127,0,-0.28,0.2,9.1,,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,26.6,(Xu et al. 2018),8,,193,,,,,,,,,,,,,,,,,,
"1,1,1-Trichloro-2-propanone",Disinfection byproduct,2.00E-02,161,0,0.17,1.12,9.7,,7,HTI CTA FO,asymmetric cellulose triacetate membrane,58.3,-8,NaCl,58.44,1,8,4.8,6,,21,64.9,(Xu et al. 2018),8,,194,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.09E-02,266.34,1,-2.67,-2.09,9.43,0.46,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,98.7,(Li et al. 2021),9,,195,,,,,,,,,,,,,,,,,,
Sotalol,b-Blockers,1.29E-02,272.36,1,-3.03,-2.01,8.28,0.6,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,99.5,(Li et al. 2021),9,,196,,,,,,,,,,,,,,,,,,
Diatrizoic acid,X-ray contrast media,4.89E-02,613.92,-1,-0.46,-2.66,0.92,0.92,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,99.8,(Li et al. 2021),9,,197,,,,,,,,,,,,,,,,,,
Iohexol,X-ray contrast media,4.80E-02,821.14,0,-1.95,-2.92,11.35,0.91,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,98,(Li et al. 2021),9,,198,,,,,,,,,,,,,,,,,,
Iopamidol,X-ray contrast media,5.84E-02,777.08,0,-0.74,-2.54,10.87,1.01,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,98,(Li et al. 2021),9,,199,,,,,,,,,,,,,,,,,,
Iopromide,X-ray contrast media,2.90E-02,791.12,0,-0.44,-2.66,10.62,1.01,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,95,(Li et al. 2021),9,,200,,,,,,,,,,,,,,,,,,
Clarithromycin,Pharmaceutical,9.29E-03,747.95,1,0.35,1.71,8.16,0.96,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,99,(Li et al. 2021),9,,201,,,,,,,,,,,,,,,,,,
Erythromycin,Pharmaceutical,6.02E-03,733.93,1,-0.28,0.81,13.09,1.3,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,91,(Li et al. 2021),9,,202,,,,,,,,,,,,,,,,,,
Sulfadiazine,Pharmaceutical,9.21E-03,250.28,-1,0.34,-0.68,6.81,0.63,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,99.9,(Li et al. 2021),9,,203,,,,,,,,,,,,,,,,,,
Sulfamethizole,Pharmaceutical,1.80E-02,270.33,-1,0.14,-0.68,2.07,0.69,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,99.9,(Li et al. 2021),9,,204,,,,,,,,,,,,,,,,,,
Metoprolol,b-Blockers,9.54E-03,267.36,1,-1.34,-0.81,9.43,0.56,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,98.9,(Li et al. 2021),9,,205,,,,,,,,,,,,,,,,,,
Tramadol,Analgesics,1.07E-02,263.38,1,-0.59,-0.06,9.61,0.63,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,99,(Li et al. 2021),9,,206,,,,,,,,,,,,,,,,,,
Citalopram,Antidepressant,6.67E-03,324.29,1,0.44,1.02,9.57,0.87,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,99,(Li et al. 2021),9,,207,,,,,,,,,,,,,,,,,,
Phenazone,Nonsteroidal anti-inflammatory,9.80E-03,188.23,0,1.21,0.44,0.65,0.47,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,99,(Li et al. 2021),9,,208,,,,,,,,,,,,,,,,,,
Venlafaxine,Antidepressant,5.14E-03,277.4,1,-0.07,0.39,9.26,0.88,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,99,(Li et al. 2021),9,,209,,,,,,,,,,,,,,,,,,
Propranolol,b-Blockers,1.01E-02,259.34,1,-0.51,0.45,9.5,0.61,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,98.2,(Li et al. 2021),9,,210,,,,,,,,,,,,,,,,,,
Sulfamethoxazole,Pharmaceutical,1.22E-02,253.28,-1,0.59,0.89,1.39,0.73,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,99.8,(Li et al. 2021),9,,211,,,,,,,,,,,,,,,,,,
Trimethoprim,Pharmaceutical,1.07E-02,290.32,1,0.26,0.59,7.04,0.57,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,99.7,(Li et al. 2021),9,,212,,,,,,,,,,,,,,,,,,
Carbamazepine,Pharmaceutical,1.37E-02,236.27,0,2.76,1.89,13.94,0.45,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,99,(Li et al. 2021),9,,213,,,,,,,,,,,,,,,,,,
Ibuprofen,Pharmaceutical,1.22E-02,206.29,-1,0.94,2.66,4.41,0.43,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,99.9,(Li et al. 2021),9,,214,,,,,,,,,,,,,,,,,,
Diclofenac,Pharmaceutical,9.66E-03,296.15,-1,2.26,1.77,4.18,0.51,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,24,17.5,12,2.5,24,100,(Li et al. 2021),9,,215,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.09E-02,266.34,1,-2.67,-2.09,9.43,0.34,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.9,(Li et al. 2021),9,,216,,,,,,,,,,,,,,,,,,
Sotalol,b-Blockers,1.29E-02,272.36,1,-3.03,-2.01,8.28,0.36,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.2,(Li et al. 2021),9,,217,,,,,,,,,,,,,,,,,,
Diatrizoic acid,X-ray contrast media,4.89E-02,613.92,-1,-0.46,-2.66,0.92,1.29,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.8,(Li et al. 2021),9,,218,,,,,,,,,,,,,,,,,,
Iohexol,X-ray contrast media,4.80E-02,821.14,0,-1.95,-2.92,11.35,0.71,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.7,(Li et al. 2021),9,,219,,,,,,,,,,,,,,,,,,
Iopamidol,X-ray contrast media,5.84E-02,777.08,0,-0.74,-2.54,10.87,0.65,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.3,(Li et al. 2021),9,,220,,,,,,,,,,,,,,,,,,
Iopromide,X-ray contrast media,2.90E-02,791.12,0,-0.44,-2.66,10.62,0.69,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,98.7,(Li et al. 2021),9,,221,,,,,,,,,,,,,,,,,,
Clarithromycin,Pharmaceutical,9.29E-03,747.95,1,0.35,1.71,8.16,0.56,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.4,(Li et al. 2021),9,,222,,,,,,,,,,,,,,,,,,
Erythromycin,Pharmaceutical,6.02E-03,733.93,1,-0.28,0.81,8.16,0.78,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,92.2,(Li et al. 2021),9,,223,,,,,,,,,,,,,,,,,,
Sulfadiazine,Pharmaceutical,9.21E-03,250.28,-1,0.34,-0.68,6.81,0.45,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.4,(Li et al. 2021),9,,224,,,,,,,,,,,,,,,,,,
Sulfamethizole,Pharmaceutical,1.80E-02,270.33,-1,0.14,-0.68,2.07,0.46,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.8,(Li et al. 2021),9,,225,,,,,,,,,,,,,,,,,,
Metoprolol,b-Blockers,9.54E-03,267.36,1,-1.34,-0.81,9.43,0.44,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.7,(Li et al. 2021),9,,226,,,,,,,,,,,,,,,,,,
Tramadol,Analgesics,1.07E-02,263.38,1,-0.59,-0.06,9.61,0.54,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,94.6,(Li et al. 2021),9,,227,,,,,,,,,,,,,,,,,,
Citalopram,Antidepressant,6.67E-03,324.29,1,0.44,1.02,9.57,0.53,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.4,(Li et al. 2021),9,,228,,,,,,,,,,,,,,,,,,
Phenazone,Nonsteroidal anti-inflammatory,9.80E-03,188.23,0,1.21,0.44,0.65,0.42,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.2,(Li et al. 2021),9,,229,,,,,,,,,,,,,,,,,,
Venlafaxine,Antidepressant,5.14E-03,277.4,1,-0.07,0.39,9.26,0.56,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.1,(Li et al. 2021),9,,230,,,,,,,,,,,,,,,,,,
Propranolol,b-Blockers,1.01E-02,259.34,1,-0.51,0.45,9.5,0.44,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.5,(Li et al. 2021),9,,231,,,,,,,,,,,,,,,,,,
Sulfamethoxazole,Pharmaceutical,1.22E-02,253.28,-1,0.59,0.89,1.39,0.45,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.5,(Li et al. 2021),9,,232,,,,,,,,,,,,,,,,,,
Trimethoprim,Pharmaceutical,1.07E-02,290.32,1,0.26,0.59,7.04,0.44,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.3,(Li et al. 2021),9,,233,,,,,,,,,,,,,,,,,,
Carbamazepine,Pharmaceutical,1.37E-02,236.27,0,2.76,1.89,13.94,0.48,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.7,(Li et al. 2021),9,,234,,,,,,,,,,,,,,,,,,
Ibuprofen,Pharmaceutical,1.22E-02,206.29,-1,0.94,2.66,4.41,0.43,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.6,(Li et al. 2021),9,,235,,,,,,,,,,,,,,,,,,
Diclofenac,Pharmaceutical,9.66E-03,296.15,-1,2.26,1.77,4.18,0.49,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,,NaCl,58.44,0.7,2.5,17.5,10,2,20,99.1,(Li et al. 2021),9,,236,,,,,,,,,,,,,,,,,,
Clofibric acid,Lipid lowering drug,2.00E-03,214.6,-1,-1.29,2.43,3.18,,6.5,Aquaporin FO,,68.1,-17,NaCl,58.44,1,,9,,,25,83.43,(Xie et al. 2018),13,,255,,,,,,,,,,,,,,,,,,
Salicylic Acid,Personal care product,2.00E-03,138.1,-1,-1.14,2.26,3.01,,6.5,Aquaporin FO,,68.1,-17,NaCl,58.44,1,,9,,,25,98.75,(Xie et al. 2018),13,,256,,,,,,,,,,,,,,,,,,y
Ketoprofen,Analgesics,2.00E-03,254.3,-1,-0.55,2.91,4.23,,6.5,Aquaporin FO,,68.1,-17,NaCl,58.44,1,,9,,,25,98.3,(Xie et al. 2018),13,,257,,,,,,,,,,,,,,,,,,
Fenoprop,Pharmaceutical,2.00E-03,269.5,-1,-0.28,3.45,2.93,,6.5,Aquaporin FO,,68.1,-17,NaCl,58.44,1,,9,,,25,94.27,(Xie et al. 2018),13,,258,,,,,,,,,,,,,,,,,,
Naproxen,Analgesics,2.00E-03,230.3,-1,-0.18,2.88,4.84,,6.5,Aquaporin FO,,68.1,-17,NaCl,58.44,1,,9,,,25,98.21,(Xie et al. 2018),13,,259,,,,,,,,,,,,,,,,,,
Metronidazole,Pharmaceutical,2.00E-03,171.2,0,-0.14,-0.14,14.44,,6.5,Aquaporin FO,,68.1,-17,NaCl,58.44,1,,9,,,25,71.79,(Xie et al. 2018),13,,260,,,,,,,,,,,,,,,,,,
Ibuprofen,Pharmaceutical,2.00E-03,206.3,-1,0.14,3.5,4.41,,6.5,Aquaporin FO,,68.1,-17,NaCl,58.44,1,,9,,,25,98.21,(Xie et al. 2018),13,,261,,,,,,,,,,,,,,,,,,
Primidone,Pharmaceutical,2.00E-03,218.3,0,0.83,0.91,12.26,,6.5,Aquaporin FO,,68.1,-17,NaCl,58.44,1,,9,,,25,97.22,(Xie et al. 2018),13,,262,,,,,,,,,,,,,,,,,,
Diclofenac,Pharmaceutical,2.00E-03,296.2,0,1.06,4.51,4.18,,6.5,Aquaporin FO,,68.1,-17,NaCl,58.44,1,,9,,,25,99.82,(Xie et al. 2018),13,,263,,,,,,,,,,,,,,,,,,
Gemfibrozil,Pharmaceutical,2.00E-03,250.3,-1,1.18,4.3,4.75,,6.5,Aquaporin FO,,68.1,-17,NaCl,58.44,1,,9,,,25,99.37,(Xie et al. 2018),13,,264,,,,,,,,,,,,,,,,,,
Propoxur,Pesticide,2.00E-03,209.2,-1,1.54,1.52,12.28,,6.5,Aquaporin FO,,68.1,-17,NaCl,58.44,1,,9,,,25,94.27,(Xie et al. 2018),13,,265,,,,,,,,,,,,,,,,,,
Enterolactone,,2.00E-03,298.33,0,1.88,1.89,9.93,,6.5,Aquaporin FO,,68.1,-17,NaCl,58.44,1,,9,,,25,98.12,(Xie et al. 2018),13,,266,,,,,,,,,,,,,,,,,,
Carbamazepine,Pharmaceutical,2.00E-03,236.3,0,1.89,2.45,13.94,,6.5,Aquaporin FO,,68.1,-17,NaCl,58.44,1,,9,,,25,89.16,(Xie et al. 2018),13,,267,,,,,,,,,,,,,,,,,,
Pentachlorophenol,Organic Compounds,2.00E-03,266.4,0,2.19,5.12,4.68,,6.5,Aquaporin FO,,68.1,-17,NaCl,58.44,1,,9,,,25,99.01,(Xie et al. 2018),13,,268,,,,,,,,,,,,,,,,,,
